INDEX	FEATURE	IMPORTANCE	REPRESENTATIVENESS	SPECIFICITY	CONTEXT
155	débat</w>	0.00	1	54	débat(1.0) below_threshold(0.0)
156	dont</w>	0.00	1	71	dont(1.0) below_threshold(0.0)
157	➡	0.00	1	87	➡️(0.5) below_threshold(0.5)
158	lutter</w>	0.00	1	82	lutter(1.0) below_threshold(0.0)
159	vie</w>	0.00	1	56	vie(1.0) below_threshold(0.0)
160	C</w>	0.00	1	66	C(0.7) below_threshold(0.3)
161	Des</w>	0.00	1	78	Des(1.0) below_threshold(0.0)
162	action</w>	0.00	1	82	action(0.9) below_threshold(0.1)
163	pris</w>	0.00	0	64	pris(1.0) below_threshold(0.0)
164	A	0.00	1	80	Acrimed(0.5) below_threshold(0.5)
165	au</w>	0.00	11	68	au(1.0) below_threshold(0.0)
166	élue</w>	0.00	0	83	réélue(0.5) élue(0.4) below_threshold(0.0)
167	discours</w>	0.00	1	75	discours(1.0) below_threshold(0.0)
168	nos</w>	0.00	1	72	nos(1.0) below_threshold(0.0)
169	s</w>	0.00	2	65	s(0.7) below_threshold(0.3)
170	re	0.00	1	70	
171	Cette</w>	0.00	1	67	Cette(1.0) below_threshold(0.0)
172	par</w>	-0.00	9	68	par(1.0) below_threshold(0.0)
173	Le</w>	-0.00	10	72	Le(1.0) below_threshold(0.0)
174	Trump</w>	-0.00	1	85	Trump(1.0) below_threshold(0.0)
175	avait</w>	-0.00	1	62	avait(1.0) below_threshold(0.0)
176	temps</w>	-0.00	2	67	temps(1.0) below_threshold(0.0)
177	ont</w>	-0.00	4	65	ont(1.0) below_threshold(0.0)
178	France</w>	-0.00	4	77	France(1.0) below_threshold(0.0)
179	parle</w>	-0.00	1	59	parle(1.0) below_threshold(0.0)
180	violences</w>	-0.00	1	66	violences(1.0) below_threshold(0.0)
181	viol</w>	-0.00	2	61	viol(1.0) below_threshold(0.0)
182	bon</w>	-0.00	1	59	bon(1.0) below_threshold(0.0)
183	ine</w>	-0.00	1	69	
184	cette</w>	-0.00	4	65	cette(1.0) below_threshold(0.0)
185	mettre</w>	-0.00	1	59	mettre(1.0) below_threshold(0.0)
186	m	-0.00	1	63	mdr(0.3) below_threshold(0.7)
187	c	-0.00	1	69	Harcèlement(0.7) below_threshold(0.3)
188	L'</w>	-0.00	3	68	L'(1.0) below_threshold(0.0)
189	mais</w>	-0.00	5	56	mais(1.0) below_threshold(0.0)
190	'</w>	-0.00	2	61	'(0.7) <HASHTAG>'(0.1) Vin'(0.1) below_threshold(0.2)
191	à</w>	-0.00	28	66	à(1.0) below_threshold(0.0)
192	faites</w>	-0.00	1	60	faites(1.0) below_threshold(0.0)
193	vais</w>	-0.00	1	51	vais(0.9) below_threshold(0.1)
194	YouTube</w>	-0.00	2	78	YouTube(1.0) below_threshold(0.0)
195	l	-0.00	1	60	
196	sera</w>	-0.00	1	74	sera(0.9) below_threshold(0.1)
197	Tr	-0.00	1	74	Tron(1.0) below_threshold(0.0)
198	n</w>	-0.00	1	62	n(0.4) below_threshold(0.6)
199	D	-0.00	1	73	JDQ(0.1) below_threshold(0.9)
