INDEX	FEATURE	IMPORTANCE	REPRESENTATIVENESS	DISTINCTIVENESS	CONTEXT
140	se</w>	0.02	10	17	se(1.0) below_threshold(0.0)
141	j'</w>	0.02	6	18	j'(1.0) below_threshold(0.0)
142	oui</w>	0.02	1	26	oui(1.0) below_threshold(0.0)
143	jamais</w>	0.02	2	15	jamais(1.0) below_threshold(0.0)
144	ner</w>	0.02	1	12	importuner(0.8) below_threshold(0.2)
145	ca</w>	0.02	1	4	ca(0.9) below_threshold(0.1)
146	certains</w>	0.02	1	17	certains(1.0) below_threshold(0.0)
147	:	0.02	5	-5	: "(0.7) below_threshold(0.3)
148	ans</w>	0.02	4	18	ans(0.9) below_threshold(0.1)
149	parce</w>	0.02	2	33	parce(1.0) below_threshold(0.0)
150	En</w>	0.02	3	6	En(1.0) below_threshold(0.0)
151	toute</w>	0.02	1	10	toute(1.0) below_threshold(0.0)
152	Si</w>	0.02	2	24	Si(1.0) below_threshold(0.0)
153	Pas</w>	0.02	1	24	Pas(1.0) below_threshold(0.0)
154	devant</w>	0.02	1	19	devant(1.0) below_threshold(0.0)
155	vous</w>	0.02	8	13	vous(1.0) below_threshold(0.0)
156	sont</w>	0.02	6	16	sont(1.0) below_threshold(0.0)
157	là</w>	0.02	2	18	là(1.0) below_threshold(0.0)
158	qui</w>	0.02	20	13	qui(1.0) below_threshold(0.0)
159	/</w>	0.02	4	10	/(1.0) below_threshold(0.0)
160	Aurore</w>	0.02	1	20	Aurore(1.0) below_threshold(0.0)
161	reste</w>	0.02	1	13	reste(1.0) below_threshold(0.0)
162	peu</w>	0.02	2	17	peu(1.0) below_threshold(0.0)
163	sexe</w>	0.02	1	16	sexe(1.0) below_threshold(0.0)
164	être</w>	0.02	6	20	être(1.0) below_threshold(0.0)
165	man	0.02	2	14	Darmanin(0.9) below_threshold(0.1)
166	juste</w>	0.02	2	33	juste(1.0) below_threshold(0.0)
167	sexistes</w>	0.02	1	21	sexistes(1.0) below_threshold(0.0)
168	.</w>	0.02	41	6	.(0.9) ".(0.0) ).(0.0) below_threshold(0.0)
169	autre</w>	0.02	2	21	autre(1.0) below_threshold(0.0)
170	fois</w>	0.02	2	13	fois(1.0) below_threshold(0.0)
171	jours</w>	0.02	1	17	jours(1.0) below_threshold(0.0)
172	comme</w>	0.02	7	21	comme(1.0) below_threshold(0.0)
173	alors</w>	0.02	2	24	alors(1.0) below_threshold(0.0)
174	ons</w>	0.02	1	-6	
175	G	0.02	1	-1	
176	q</w>	0.02	0	10	
177	même</w>	0.02	5	22	même(1.0) below_threshold(0.0)
178	ant</w>	0.02	1	20	
179	le</w>	0.02	32	0	le(1.0) below_threshold(0.0)
180	pense</w>	0.02	1	27	pense(1.0) below_threshold(0.0)
181	ation</w>	0.02	1	10	
182	On</w>	0.02	4	15	On(1.0) below_threshold(0.0)
183	dé	0.02	1	17	
184	place</w>	0.02	1	20	place(1.0) below_threshold(0.0)
185	agressions</w>	0.02	1	10	agressions(1.0) below_threshold(0.0)
186	im	0.02	1	16	importuner(0.6) below_threshold(0.4)
187	M	0.02	1	7	
188	personne</w>	0.02	1	23	personne(1.0) below_threshold(0.0)
189	😂</w>	0.02	1	10	😂(0.4) below_threshold(0.6)
190	Sur</w>	0.02	0	9	Sur(1.0) below_threshold(0.0)
191	C	0.02	1	-5	
192	J'</w>	0.02	3	11	J'(1.0) below_threshold(0.0)
193	mal</w>	0.02	1	21	mal(1.0) below_threshold(0.0)
194	son</w>	0.02	6	5	son(1.0) below_threshold(0.0)
195	ils</w>	0.02	2	19	ils(1.0) below_threshold(0.0)
196	ou</w>	0.02	7	21	ou(0.9) below_threshold(0.1)
197	mon</w>	0.02	3	16	mon(1.0) below_threshold(0.0)
198	dénoncer</w>	0.02	1	20	dénoncer(1.0) below_threshold(0.0)
199	(</w>	0.02	6	2	((0.8) " ((0.0) below_threshold(0.2)
