INDEX	FEATURE	IMPORTANCE	REPRESENTATIVENESS	DISTINCTIVENESS	CONTEXT
31	so<SEP>	0.09	8	88	så/so(0.7) som/so(0.2) altså/asso(0.0) altså/allso(0.0) sånn/so(0.0) liksom/likkso(0.0) below_threshold(0.0)
32	<SEP>øve	0.09	1	66	over/øve(0.9) overtok/øvetog(0.0) below_threshold(0.1)
33	eg<SEP>	0.09	16	68	jeg/eg(0.9) meg/meg(0.0) seg/seg(0.0) deg/deg(0.0) veg/veg(0.0) eg/eg(0.0) below_threshold(0.0)
34	<SEP>jer	0.09	1	45	gjør/jer(0.6) gjøre/jer(0.1) gjør/jere(0.1) gjøre/jera(0.1) gir/jer(0.0) gjøre/jere(0.0) below_threshold(0.0)
35	ane<SEP>	0.09	3	50	ungene/oŋŋane(0.1) ungene/oŋŋgane(0.0) spennende/spennane(0.0) guttene/gutane(0.0) kveldene/kvelldane(0.0) gardene/garane(0.0) dagene/dagane(0.0) guttene/guttane(0.0) below_threshold(0.8)
36	ʂʂe<SEP>	0.09	1	61	ikke/iʂʂe(0.8) mye/myʂʂe(0.0) below_threshold(0.1)
37	he<SEP>	0.09	5	65	har/he(1.0) hadde/he(0.0) her/he(0.0) below_threshold(0.0)
38	<SOS>de/dei<EOS>	0.09	1	85	
39	<SEP>ner	0.08	1	25	ned/ner(0.6) nede/nere(0.2) nedi/neri(0.1) nede/ner(0.0) nær/ner(0.0) nedover/nerøve(0.0) below_threshold(0.1)
40	ao	0.08	1	83	au/ao(0.2) da/dao(0.2) år/aor(0.1) jo/jao(0.0) på/pao(0.0) året/aore(0.0) below_threshold(0.5)
41	<SEP>off	0.08	0	18	uff/off(0.9) below_threshold(0.1)
42	jørr	0.08	0	13	gjør/jørr(0.6) gjøre/jørr(0.3) below_threshold(0.1)
43	<SOS>de/dæi<EOS>	0.08	6	69	
44	øve<SEP>	0.08	1	42	over/øve(0.6) prøve/prøve(0.1) utover/utøve(0.0) innover/innøve(0.0) prøver/prøve(0.0) nedover/nerøve(0.0) below_threshold(0.2)
45	<SEP>og	0.08	1	81	òg/og(0.5) og/og(0.4) below_threshold(0.0)
46	<SEP>der	0.08	4	15	der/der(0.8) det/der(0.1) dere/dere(0.0) deroppe/deroppe(0.0) deroppe/deråppe(0.0) derre/dere(0.0) derinne/derinne(0.0) der/derr(0.0) derifra/derifrå(0.0) derborte/derbårrte(0.0) below_threshold(0.0)
47	<SEP>æu	0.08	2	28	au/æu(0.9) òg/æu(0.0) below_threshold(0.0)
48	kå<SEP>	0.08	1	44	hva/kå(0.3) noe/nåkkå(0.2) noe/nåkå(0.1) hvor/kå(0.1) klokka/klåkkå(0.0) oss/åkkå(0.0) noen/nåkkå(0.0) uka/vekå(0.0) below_threshold(0.1)
49	<SEP>dei	0.08	1	70	de/dei(0.9) dem/dei(0.1) deg/dei(0.0) det/dei(0.0) below_threshold(0.0)
50	teŋŋk	0.08	1	17	tenker/teŋŋke(0.3) tenke/teŋŋke(0.2) tenker/teŋŋker(0.1) tenk/teŋŋk(0.1) tenker/teŋŋk(0.1) tenkt/teŋŋkt(0.1) tenke/teŋŋka(0.1) tenkte/teŋŋkte(0.0) tenker/teŋŋkår(0.0) below_threshold(0.1)
51	<SEP>såv	0.07	0	-6	såvidt/såvitt(0.2) sov/såv(0.2) soverom/såveromm(0.1) below_threshold(0.4)
52	<SOS>alltid/allti<EOS>	0.07	1	40	
53	<SOS>en/enn<EOS>	0.07	3	44	
54	<SEP>åg	0.07	2	45	òg/åg(0.8) og/åg(0.2) å/åg(0.0) below_threshold(0.0)
55	øe	0.07	1	44	mye/møe(0.5) sjøen/ʂøen(0.2) snøen/snøen(0.1) miljøet/miljøe(0.0) below_threshold(0.2)
56	teŋŋt	0.07	1	24	tenkt/teŋŋt(0.5) tenkte/teŋŋte(0.4) tenkte/teŋŋt(0.0) below_threshold(0.0)
57	åge	0.07	1	87	noe/någe(0.7) noen/någen(0.2) noen/någe(0.0) below_threshold(0.1)
58	mål	0.07	1	47	mål/mål(0.1) bokmål/bokmål(0.1) spørsmål/spørrsmål(0.0) spørsmål/spøʂʂmål(0.0) målet/måle(0.0) melke/mållka(0.0) below_threshold(0.6)
59	rda	0.07	0	2	hvordan/korrdan(0.1) below_threshold(0.9)
60	<SOS>skulle/sko<EOS>	0.07	1	76	
61	når<SEP>	0.07	1	33	når/når(0.5) kroner/kronår(0.1) below_threshold(0.4)
62	ʧø	0.07	1	73	kjører/ʧøre(0.1) kommer/ʧøme(0.1) kjøpe/ʧøpe(0.1) kjøpte/ʧøppte(0.1) kjøre/ʧøra(0.1) kjørte/ʧørte(0.0) kjøpe/ʧøpa(0.0) kommer/ʧøm(0.0) kjøpt/ʧøppt(0.0) below_threshold(0.5)
63	bu<SEP>	0.07	0	52	bu/bu(0.6) bor/bu(0.2) bo/bu(0.1) bur/bu(0.1) below_threshold(0.0)
64	lår	0.07	1	78	eller/ellår(0.5) heller/hellår(0.1) ellers/ellårs(0.1) slår/slår(0.0) below_threshold(0.2)
65	ŋŋg	0.07	2	90	mange/måŋŋge(0.1) mange/maŋŋge(0.1) unger/oŋŋga(0.1) ting/tiŋŋg(0.1) mange/moŋŋge(0.0) gang/gåŋŋg(0.0) ungene/oŋŋgane(0.0) går/jeŋŋg(0.0) går/jeŋŋge(0.0) gang/goŋŋg(0.0) lenger/læŋŋger(0.0) below_threshold(0.5)
66	ʧe<SEP>	0.07	6	97	ikke/ʧe(0.6) ikke/itʧe(0.2) mye/mytʧe(0.0) mye/møʧe(0.0) mye/myʧe(0.0) mye/møtʧe(0.0) tenker/tennʧe(0.0) tykker/tytʧe(0.0) below_threshold(0.0)
67	skule	0.07	1	92	skole/skule(0.4) ungdomsskole/oŋŋdåmskule(0.0) skolen/skule(0.0) ungdomsskole/oŋŋdomskule(0.0) barneskole/barneskule(0.0) skolen/skulen(0.0) skule/skule(0.0) skolehuset/skulehuse(0.0) below_threshold(0.4)
68	ge<SEP>	0.07	6	39	noe/någe(0.1) ligger/ligge(0.1) noe/noge(0.0) liker/lige(0.0) mange/måŋŋge(0.0) mange/maŋŋge(0.0) lage/lage(0.0) bygge/bygge(0.0) tilbake/tebage(0.0) legger/legge(0.0) dager/dage(0.0) begge/begge(0.0) mange/moŋŋge(0.0) forskjellige/fåʂellige(0.0) barnehage/barnehage(0.0) tar/tege(0.0) legge/legge(0.0) lager/lage(0.0) høge/høge(0.0) bruker/bruge(0.0) bygger/bygge(0.0) forskjellige/fårʂellige(0.0) eier/æige(0.0) heldige/helldige(0.0) noen/någe(0.0) går/jeŋŋge(0.0) laget/lage(0.0) vanlige/vanlige(0.0) hage/hage(0.0) ligge/ligge(0.0) tar/tæge(0.0) ferdig/færige(0.0) below_threshold(0.4)
69	<SEP>nåke	0.06	2	94	noe/nåke(0.7) noen/nåken(0.2) noen/nåke(0.1) below_threshold(0.0)
70	nåke	0.06	2	94	noe/nåke(0.7) noen/nåken(0.2) noen/nåke(0.1) below_threshold(0.0)
71	hu<SEP>	0.06	1	17	hun/hu(1.0) henne/hu(0.0) below_threshold(0.0)
72	<SOS>ja/ja<SEP>jeg/eg<EOS>	0.06	1	80	
73	æg<SEP>	0.06	1	29	jeg/æg(0.9) meg/mæg(0.1) deg/dæg(0.0) below_threshold(0.1)
74	iå	0.06	1	40	tida/tiå(0.1) sida/siå(0.1) below_threshold(0.7)
75	<SEP>ao	0.06	1	94	au/ao(0.7) år/aor(0.1) av/ao(0.0) året/aore(0.0) below_threshold(0.1)
76	<SEP>vek	0.06	1	47	vekk/vekk(0.3) vekk/vekke(0.1) uka/veka(0.1) uke/veke(0.1) uker/veke(0.0) uke/veka(0.0) uka/veko(0.0) uka/vekå(0.0) uker/veker(0.0) below_threshold(0.2)
77	<SOS>det/da<SEP>er/e<EOS>	0.06	1	99	
78	kår	0.06	1	38	sikkert/sikkår(0.1) sikkert/sikkårt(0.1) buekorps/buekårrps(0.0) dere/dåkkår(0.0) tenker/teŋŋkår(0.0) below_threshold(0.6)
79	år<SEP>	0.06	11	12	år/år(0.4) går/går(0.1) får/får(0.1) eller/ellår(0.0) står/står(0.0) vært/vår(0.0) når/når(0.0) vår/vår(0.0) sikkert/sikkår(0.0) heller/hellår(0.0) igår/igår(0.0) derfor/dæffår(0.0) for/får(0.0) lenger/leŋŋår(0.0) gård/går(0.0) forstår/fårstår(0.0) hvorfor/koffår(0.0) ligger/liggår(0.0) over/åvår(0.0) der/dår(0.0) slår/slår(0.0) dere/dåkkår(0.0) etter/ettår(0.0) meter/metår(0.0) kommer/kåmmår(0.0) hår/hår(0.0) altfor/alltfår(0.0) kroner/kronår(0.0) derfor/dærrfår(0.0) tenker/teŋŋkår(0.0) below_threshold(0.2)
80	mø	0.06	2	42	mye/møje(0.3) mye/møe(0.2) mye/møʧe(0.1) mye/møçe(0.1) møte/møte(0.0) mye/mø(0.0) møtte/møtte(0.0) mye/møtʧe(0.0) møter/møte(0.0) below_threshold(0.3)
81	<SOS>dem/di<EOS>	0.06	1	38	
82	<SOS>som/så<EOS>	0.06	7	31	
83	æn<SEP>	0.06	0	4	en/æn(0.6) below_threshold(0.4)
84	sitt<SEP>	0.06	1	20	sett/sitt(0.5) sitt/sitt(0.3) sitter/sitt(0.1) sitte/sitt(0.1) below_threshold(0.1)
85	<SOS>rett/rett<EOS>	0.06	1	35	
86	ronn	0.06	1	62	rundt/ronnt(0.6) grunn/gronn(0.2) igrunnen/igronn(0.1) igrunnen/igronnen(0.0) igrunnen/igronnn̩(0.0) below_threshold(0.1)
87	<SOS>er/e<SEP>det/da<EOS>	0.06	1	99	
88	onne<SEP>	0.06	1	61	kunne/konne(0.7) funnet/fonne(0.1) under/onne(0.1) below_threshold(0.1)
89	eŋŋe<SEP>	0.06	1	27	lenge/leŋŋe(0.5) går/jeŋŋe(0.2) trenger/treŋŋe(0.1) gått/jeŋŋe(0.0) below_threshold(0.2)
90	æina	0.06	1	57	eneste/æinaste(0.3) seinere/sæinare(0.2) meiner/mæina(0.1) aleine/alæina(0.1) ene/æina(0.0) below_threshold(0.3)
91	åi<SEP>	0.06	0	-3	oi/åi(0.9) below_threshold(0.1)
92	<SEP>ein	0.06	1	23	en/ein(0.9) ene/eine(0.1) eneste/einaste(0.0) below_threshold(0.0)
93	<SEP>jær	0.05	1	6	gjør/jær(0.4) gjøre/jær(0.3) gjerne/jærne(0.1) gjøre/jære(0.1) gjør/jære(0.0) gjerne/jærrne(0.0) gjøre/jæra(0.0) below_threshold(0.1)
94	<SEP>æg	0.05	1	41	jeg/æg(1.0) below_threshold(0.0)
95	flytt	0.05	1	77	flytta/flytta(0.5) flytte/flytte(0.1) flytte/flytta(0.1) flytter/flytte(0.1) flytter/flytta(0.0) flytta/flytte(0.0) below_threshold(0.2)
96	rst	0.05	1	79	første/førrste(0.2) først/førrst(0.1) forstår/fårstår(0.1) verst/værrst(0.1) forstå/fårstå(0.0) største/størrste(0.0) verste/værrste(0.0) below_threshold(0.5)
97	lår<SEP>	0.05	1	81	eller/ellår(0.6) heller/hellår(0.2) slår/slår(0.1) below_threshold(0.2)
98	çe<SEP>	0.05	15	23	ikke/çe(0.6) ikke/iççe(0.3) mye/myççe(0.0) mye/myçe(0.0) ikke/ççe(0.0) ikke/iŋŋçe(0.0) mye/møçe(0.0) tykker/tyççe(0.0) stykker/styççe(0.0) tenker/teŋŋçe(0.0) tykker/tiççe(0.0) tenker/tennçe(0.0) kanskje/kannsçe(0.0) below_threshold(0.0)
99	<SEP>ælle	0.05	1	6	eller/ælle(0.5) eller/æller(0.4) ellers/ælleʂ(0.1) ellers/ællers(0.1) ellers/ælles(0.0) below_threshold(0.0)
100	<SEP>non	0.05	0	-11	noen/non(0.7) noen/nonn(0.3) below_threshold(0.0)
101	ykk	0.05	2	13	sykla/sykkla(0.1) bygd/bykkt(0.1) trygt/trykkt(0.0) stykker/stykk(0.0) stykker/stykke(0.0) inntrykk/inntrykk(0.0) sykle/sykkle(0.0) uttrykk/utrykk(0.0) sykkel/sykkel(0.0) stykke/stykke(0.0) tykte/tykkte(0.0) utrykk/utrykk(0.0) fryktelig/frykktli(0.0) dere/dykk(0.0) dere/dykke(0.0) sykle/sykkla(0.0) tykker/tykke(0.0) below_threshold(0.4)
102	ʧ	0.05	9	82	ikke/ʧe(0.3) ikke/itʧe(0.2) mye/mytʧe(0.0) mye/møʧe(0.0) kjekt/ʧekkt(0.0) kommer/ʧeme(0.0) tjue/ʧue(0.0) mye/myʧe(0.0) kommer/ʧem(0.0) kjenner/ʧenne(0.0) ikke/ʧ(0.0) ikke/itʧ(0.0) kilometer/ʧilometer(0.0) kjører/ʧøre(0.0) kommer/ʧøme(0.0) kjøpe/ʧøpe(0.0) kjøpte/ʧøppte(0.0) kjøre/ʧøra(0.0) kjæledyr/ʧeledyr(0.0) mye/møtʧe(0.0) tenker/tennʧe(0.0) kjørte/ʧørte(0.0) kommer/ʧæme(0.0) tykker/tytʧe(0.0) kjøpe/ʧøpa(0.0) kommer/ʧøm(0.0) kirken/ʧørrʧå(0.0) kjente/ʧennde(0.0) tja/ʧa(0.0) kino/ʧino(0.0) kjøpt/ʧøppt(0.0) kjedelig/ʧedeli(0.0) tenke/tennʧa(0.0) kyr/ʧyr(0.0) kjekt/ʧækkt(0.0) below_threshold(0.2)
103	<SEP>dæi	0.05	7	63	de/dæi(0.9) dem/dæi(0.1) det/dæi(0.0) deilig/dæili(0.0) deres/dæira(0.0) below_threshold(0.0)
104	åkke<SEP>	0.05	1	49	noe/nåkke(0.4) dere/dåkke(0.4) oss/åkke(0.1) noen/nåkke(0.1) below_threshold(0.0)
105	dar	0.05	3	77	der/dar(0.5) det/dar(0.3) der/darr(0.1) videre/vidare(0.0) deroppe/daroppe(0.0) standard/stanndar(0.0) below_threshold(0.1)
106	<SEP>snø	0.05	1	21	snø/snø(0.6) snøen/snøen(0.1) below_threshold(0.3)
107	<SOS>ned/ner<EOS>	0.05	1	47	
108	ffa	0.05	1	47	iallfall/iaffall(0.3) iallfall/jaffal(0.2) iallfall/iaffal(0.1) iallfall/jaffall(0.1) below_threshold(0.3)
109	ekkt<SEP>	0.05	1	42	kjekt/ʧekkt(0.3) dialekt/dialekkt(0.2) kjekt/çekkt(0.2) kjekt/ʂekkt(0.1) prosjekt/proʂekkt(0.0) slekt/slekkt(0.0) below_threshold(0.2)
110	<SEP>da	0.05	19	-1	det/da(0.6) da/da(0.2) der/dar(0.0) dag/dag(0.0) det/dar(0.0) de/da(0.0) dag/da(0.0) der/da(0.0) den/dann(0.0) da/dao(0.0) dagen/dagen(0.0) der/darr(0.0) dager/daga(0.0) dager/dage(0.0) dagen/dajen(0.0) dalen/daln̩(0.0) dem/da(0.0) data/data(0.0) deroppe/daroppe(0.0) de/dai(0.0) dagen/dan(0.0) datt/datt(0.0) dame/dame(0.0) dagene/dagane(0.0) dager/dagar(0.0) damene/damene(0.0) dansk/dannsk(0.0) below_threshold(0.0)
111	eli	0.05	1	3	skikkelig/ʂikkeli(0.1) selvfølgelig/seføllgeli(0.1) vanskelig/vannskeli(0.1) selvfølgelig/selføllgeli(0.0) virkelig/virrkeli(0.0) kjedelig/ʧedeli(0.0) below_threshold(0.7)
112	<SEP>go	0.05	1	8	god/go(0.7) gode/goe(0.1) gode/go(0.1) god/goe(0.0) gang/goŋŋ(0.0) gang/goŋŋg(0.0) below_threshold(0.1)
113	aŋŋen	0.05	0	-4	mange/maŋŋen(0.6) gangen/gaŋŋen(0.2) below_threshold(0.1)
114	skul	0.05	3	39	skolen/skuln̩(0.2) skulle/skulle(0.2) skole/skule(0.2) skulle/skull(0.0) ungdomsskole/oŋŋdåmskule(0.0) ungdomsskolen/oŋŋdåmskuln̩(0.0) barneskolen/barneskuln̩(0.0) skolen/skule(0.0) ungdomsskole/oŋŋdomskule(0.0) barneskole/barneskule(0.0) skolen/skulen(0.0) skule/skule(0.0) skoler/skula(0.0) skulle/skullde(0.0) skolehuset/skulehuse(0.0) below_threshold(0.3)
115	<SOS>sett/sett<EOS>	0.05	1	15	
116	<SOS>har/he<EOS>	0.05	5	66	
117	ʂå<SEP>	0.05	1	15	se/ʂå(0.8) hos/ʂå(0.1) hos/iʂå(0.0) below_threshold(0.0)
118	lig	0.05	2	36	ligger/ligge(0.2) liker/lige(0.1) ligger/ligg(0.1) forskjellige/fåʂellige(0.0) tidligere/tiligare(0.0) ligger/liggår(0.0) forskjellige/fårʂellige(0.0) like/liga(0.0) ligger/ligger(0.0) likevel/ligavell(0.0) liker/liga(0.0) vanlige/vanlige(0.0) ligge/ligge(0.0) below_threshold(0.4)
119	<SEP>so	0.05	10	48	så/so(0.7) som/so(0.2) som/somm(0.1) sommer/sommar(0.0) sommeren/sommarn̩(0.0) sommeren/sommaren(0.0) sosialt/sosialt(0.0) somme/somme(0.0) sånn/so(0.0) sommeren/sommarn(0.0) sol/sol(0.0) below_threshold(0.0)
120	ikt<SEP>	0.05	1	61	viktig/vikktikt(0.1) tidlig/tilikt(0.1) veldig/velldikt(0.1) artig/arrtikt(0.0) below_threshold(0.8)
121	sl	0.05	4	44	slik/slik(0.0) slutta/slutta(0.0) slo/slo(0.0) slå/slå(0.0) slutt/slutt(0.0) rettogslett/rettåslett(0.0) slags/slakks(0.0) slik/slek(0.0) slutten/sluttn̩(0.0) koselig/kosli(0.0) plutselig/pluttsli(0.0) slikt/slikkt(0.0) rettogslett/rættåslætt(0.0) slipper/sleppe(0.0) slår/slår(0.0) slapp/slapp(0.0) slått/slått(0.0) slutt/slott(0.0) slekt/slekkt(0.0) slutta/slotta(0.0) slutte/slutte(0.0) slåball/slåball(0.0) plutselig/plussli(0.0) slipper/slepp(0.0) slags/slass(0.0) slike/slike(0.0) below_threshold(0.5)
122	ore<SEP>	0.05	2	27	vært/vore(0.3) store/store(0.2) gjorde/jore(0.2) stor/store(0.1) bordet/bore(0.0) ordet/ore(0.0) året/aore(0.0) below_threshold(0.1)
123	gde<SEP>	0.05	0	25	bygde/byggde(0.4) lagde/laggde(0.2) lagde/lagde(0.1) below_threshold(0.3)
124	ellå	0.05	1	58	eller/ellår(0.6) heller/hellår(0.2) ellers/ellårs(0.1) mellom/mellåm(0.1) below_threshold(0.1)
125	are<SEP>	0.05	5	14	bare/bare(0.6) seinere/sæinare(0.0) klarer/klare(0.0) fare/fare(0.0) klare/klare(0.0) finere/finare(0.0) tidligere/tiligare(0.0) være/vare(0.0) videre/vidare(0.0) vare/vare(0.0) videre/viare(0.0) breiere/bræiare(0.0) lettere/lettare(0.0) høgere/høgare(0.0) blir/vare(0.0) tidligere/tiliare(0.0) varer/vare(0.0) below_threshold(0.2)
126	ç<SEP>	0.05	0	10	ikke/ç(0.5) ikke/içç(0.4) below_threshold(0.1)
127	lli<SEP>	0.05	0	-7	forskjellig/fåʂelli(0.3) billig/billi(0.1) aldri/alli(0.1) forskjellig/fårʂelli(0.1) forskjellige/fåʂælli(0.1) selvfølgelig/sefølli(0.1) below_threshold(0.3)
128	når	0.05	4	4	når/nårr(0.7) når/når(0.1) nynorsk/nynårrsk(0.0) norsk/nårrsk(0.0) enormt/enårrmt(0.0) kroner/kronår(0.0) below_threshold(0.1)
129	<SOS>vært/vore<EOS>	0.05	1	37	
130	nå<SEP>	0.05	9	-3	nå/nå(0.7) når/nå(0.3) noe/nå(0.0) enda/ennå(0.0) gjennom/jønå(0.0) igjennom/ijønå(0.0) han/nå(0.0) noen/nå(0.0) below_threshold(0.0)
131	æi	0.05	35	16	nei/næi(0.2) de/dæi(0.2) en/æin(0.1) veit/væit(0.0) ei/æi(0.0) si/sæi(0.0) mer/mæir(0.0) helt/hæilt(0.0) heile/hæile(0.0) blei/blæi(0.0) greit/græit(0.0) dem/dæi(0.0) sier/sæie(0.0) sier/sæi(0.0) heim/hæim(0.0) et/æit(0.0) heilt/hæilt(0.0) heime/hæime(0.0) reiser/ræise(0.0) flere/flæire(0.0) veien/væien(0.0) reise/ræisa(0.0) greit/græitt(0.0) heile/hæila(0.0) en/æi(0.0) heter/hæite(0.0) dreiv/dræiv(0.0) eneste/æinaste(0.0) ene/æine(0.0) heime/hæima(0.0) vei/væi(0.0) veit/væitt(0.0) nei/æi(0.0) reise/ræise(0.0) arbeid/arrbæi(0.0) reiste/ræiste(0.0) heilt/hæillt(0.0) seinere/sæinare(0.0) feil/fæil(0.0) si/sæie(0.0) de/ræi(0.0) seint/sæint(0.0) grei/græi(0.0) reist/ræist(0.0) ett/æitt(0.0) lei/læi(0.0) greie/græie(0.0) pleier/plæie(0.0) skreiv/skræiv(0.0) meiner/mæina(0.0) peiling/pæiliŋ(0.0) meiner/mæine(0.0) blei/bɽæi(0.0) mer/mæi(0.0) stein/stæin(0.0) greier/græie(0.0) leika/læika(0.0) heia/hæia(0.0) dem/ræi(0.0) et/æitt(0.0) leike/læike(0.0) det/dæi(0.0) leilighet/læilihet(0.0) arbeid/arbæi(0.0) bedre/bæire(0.0) greier/græier(0.0) si/sæia(0.0) de/æi(0.0) blei/bæi(0.0) mere/mæire(0.0) deilig/dæili(0.0) breiere/bræiare(0.0) påsi/påsæi(0.0) heimte/hæimte(0.0) jeg/æi(0.0) heimatt/hæimatt(0.0) bredt/bræitt(0.0) eier/æige(0.0) én/æin(0.0) hei/hæi(0.0) heter/hæitte(0.0) en/æinn(0.0) veien/væin(0.0) aleine/alæine(0.0) reine/ræine(0.0) aleine/alæina(0.0) hvordan/korrlæis(0.0) tre/træi(0.0) meinte/mæinte(0.0) heil/hæil(0.0) heiv/hæiv(0.0) et/æi(0.0) heia/hæiæ(0.0) ene/æina(0.0) vær/væir(0.0) fler/flæir(0.0) reiste/ræisste(0.0) annerledes/annlæis(0.0) arbeid/arrbæid(0.0) deres/dæira(0.0) greier/græi(0.0) heile/hæil(0.0) below_threshold(0.1)
132	mml	0.05	1	42	gamle/gammle(0.4) samla/sammla(0.1) himla/himmla(0.1) gamle/gammla(0.1) below_threshold(0.4)
133	jøn	0.05	1	36	gjennom/jønå(0.2) igjennom/ijønå(0.1) begynte/bjønnte(0.1) begynte/bjønnde(0.1) begynne/bjønnde(0.0) below_threshold(0.6)
134	lde<SEP>	0.05	1	40	bilde/billde(0.1) holde/hallde(0.1) ville/villde(0.1) skulle/skullde(0.1) holder/hellde(0.1) bildet/billde(0.0) gjelder/jellde(0.0) below_threshold(0.6)
135	mår	0.05	1	3	imorgen/imårå(0.1) kommer/kåmmår(0.1) sommeren/såmmåren(0.1) morgenen/mårån(0.0) imorgen/imårra(0.0) below_threshold(0.7)
136	kule	0.05	1	84	skole/skule(0.4) ungdomsskole/oŋŋdåmskule(0.0) skolen/skule(0.0) ungdomsskole/oŋŋdomskule(0.0) barneskole/barneskule(0.0) skolen/skulen(0.0) skule/skule(0.0) skolehuset/skulehuse(0.0) below_threshold(0.4)
